model,year,region,color,fuel_type,transmission,engine_size_l,mileage_km,price_usd,sales_volume
X6,2023,Middle East,Blue,Petrol,Manual,3.9,50663,32628,279
X3,2024,South America,White,Diesel,Manual,2.4,145314,40849,9437
M5,2022,Africa,Silver,Hybrid,Manual,4.7,195697,47249,9594
M5,2021,Asia,White,Petrol,Automatic,3.0,1125,63009,5187
X5,2023,Middle East,Blue,Electric,Automatic,2.5,64963,118790,7868
M5,2022,Africa,Blue,Petrol,Automatic,3.8,88107,110775,4921
M5,2022,Middle East,Grey,Diesel,Automatic,4.7,78884,109992,9389
M3,2024,Middle East,Grey,Hybrid,Manual,4.1,34356,52804,2407
i3,2020,Middle East,Grey,Diesel,Manual,5.0,21513,54746,3073
7 Series,2022,Middle East,Red,Diesel,Manual,2.1,41542,36354,6447
i8,2020,Asia,Black,Electric,Manual,3.6,191527,46058,9257
X5,2022,Africa,Blue,Electric,Manual,2.8,49006,98565,6581
X3,2024,South America,Black,Petrol,Manual,4.6,176939,64248,7920
X5,2024,South America,Black,Hybrid,Manual,4.6,185579,35487,1656
X3,2020,Africa,Grey,Hybrid,Manual,3.6,163517,70342,5325
M5,2023,South America,Blue,Diesel,Automatic,3.5,166824,108641,3682
i3,2021,Africa,Red,Hybrid,Manual,3.6,121998,67236,794
M5,2021,Middle East,Silver,Hybrid,Automatic,4.3,50894,107070,3776
X1,2020,South America,Silver,Diesel,Automatic,3.5,80980,36815,3363
i3,2022,Africa,White,Petrol,Automatic,4.8,11188,76399,5928
X5,2022,Asia,Silver,Hybrid,Manual,3.3,48726,68451,1031
M5,2020,Asia,White,Petrol,Automatic,3.3,64520,47319,8690
3 Series,2020,Middle East,Black,Petrol,Manual,2.9,152179,60297,8141
X3,2023,Middle East,White,Electric,Automatic,4.8,76350,47508,5805
X6,2023,North America,Silver,Electric,Manual,2.3,63852,86104,2638
X6,2020,North America,Black,Petrol,Manual,2.5,149268,104890,6424
5 Series,2024,South America,White,Electric,Automatic,3.0,60479,44386,7531
X3,2024,South America,Red,Petrol,Automatic,4.5,23048,31714,5563
7 Series,2023,Middle East,Blue,Diesel,Automatic,2.4,56566,75003,3328
X5,2020,Asia,Blue,Electric,Manual,4.3,199,119176,9748
X3,2023,North America,White,Petrol,Automatic,4.4,114288,92586,839
3 Series,2021,Africa,Silver,Hybrid,Automatic,2.2,110050,49612,2637
X3,2020,Europe,White,Diesel,Manual,3.1,170695,64720,8845
M5,2023,Asia,Silver,Hybrid,Automatic,4.4,23900,66374,9599
M5,2024,Middle East,Grey,Diesel,Manual,2.7,1789,115425,192
X6,2021,Middle East,Red,Diesel,Manual,3.2,1308,76324,4176
7 Series,2020,South America,Red,Petrol,Manual,1.8,123173,88696,1752
7 Series,2022,Middle East,Red,Petrol,Automatic,4.3,45060,33948,9618
3 Series,2023,South America,Grey,Diesel,Automatic,2.5,28371,41392,2237
X6,2023,Africa,Red,Electric,Automatic,4.5,90460,73996,9274
7 Series,2024,Europe,White,Electric,Manual,2.9,123322,70015,6072
7 Series,2022,South America,Black,Hybrid,Manual,3.7,185145,60541,4235
i8,2021,Europe,Grey,Electric,Automatic,4.9,60192,113058,8880
X6,2020,Africa,Blue,Electric,Automatic,1.6,3130,99774,1235
X6,2022,Middle East,White,Hybrid,Manual,3.5,18223,41511,9548
M5,2022,South America,Blue,Hybrid,Manual,2.0,178016,55995,9583
X3,2024,Africa,Blue,Hybrid,Automatic,2.7,54110,44134,1867
X6,2021,Africa,White,Hybrid,Automatic,1.8,140523,114404,3611
M3,2023,Asia,Red,Hybrid,Automatic,2.0,51969,56664,8635
5 Series,2023,Middle East,Silver,Diesel,Manual,2.9,159784,63499,3825
i8,2023,Asia,Silver,Diesel,Automatic,4.0,168774,85178,9027
7 Series,2022,South America,Red,Petrol,Manual,4.1,30394,51307,9057
5 Series,2024,South America,White,Electric,Automatic,3.3,178086,67485,9517
i8,2020,Europe,Red,Electric,Manual,4.5,29511,116779,1453
i8,2022,Europe,Black,Diesel,Manual,4.5,158464,69408,2652
5 Series,2024,North America,Red,Hybrid,Manual,2.6,9162,105775,1603
i3,2023,Africa,Red,Hybrid,Manual,1.6,159530,97267,9710
X5,2023,Asia,Blue,Diesel,Automatic,2.5,22965,66900,6682
7 Series,2021,North America,White,Petrol,Automatic,3.8,157587,92792,7540
i3,2024,Africa,White,Petrol,Automatic,4.5,185461,33838,7804
5 Series,2023,North America,Grey,Petrol,Manual,3.5,145922,34574,4779
X5,2024,South America,Black,Electric,Manual,2.3,154940,101815,3359
X3,2020,Asia,Black,Hybrid,Automatic,4.3,37058,103242,412
X1,2024,Africa,Blue,Electric,Automatic,3.5,105290,45247,8719
5 Series,2024,South America,Silver,Hybrid,Manual,4.9,158803,108025,9323
X1,2020,Africa,Red,Petrol,Manual,5.0,171949,86386,2716
i3,2024,North America,Grey,Hybrid,Automatic,4.2,85539,112506,694
X3,2022,North America,Red,Hybrid,Automatic,2.7,116870,34288,6722
3 Series,2020,South America,White,Petrol,Automatic,2.9,157942,97467,954
M5,2023,Europe,Silver,Petrol,Automatic,2.7,36126,56815,6867
X5,2023,Africa,White,Electric,Automatic,1.7,34174,31113,2278
7 Series,2023,South America,Blue,Electric,Automatic,3.6,13710,83415,3894
X6,2023,South America,Blue,Electric,Automatic,4.0,150551,64175,7786
X6,2022,Europe,Red,Petrol,Manual,2.5,90956,115225,6338
X5,2022,North America,Silver,Hybrid,Automatic,3.0,70590,78491,8951
i8,2021,Europe,White,Hybrid,Automatic,4.9,192786,86308,1716
5 Series,2020,Asia,Black,Electric,Manual,2.3,91313,115195,1272
X3,2024,South America,Blue,Hybrid,Manual,1.8,113158,56647,8757
M5,2020,Asia,Red,Hybrid,Automatic,4.6,62563,70006,9520
i8,2020,Europe,Blue,Diesel,Automatic,4.6,136898,118047,2160
M3,2021,Africa,Silver,Electric,Automatic,1.7,72026,118433,2595
7 Series,2021,Africa,White,Electric,Automatic,2.6,13651,44233,9829
X3,2020,South America,Red,Petrol,Manual,3.0,85141,88091,6677
i8,2020,Africa,Black,Electric,Manual,4.5,140776,110438,9452
M3,2021,Europe,Blue,Electric,Automatic,2.3,118499,98181,3057
M5,2023,Asia,Grey,Petrol,Automatic,3.2,159124,114161,679
M5,2022,Africa,Black,Petrol,Manual,2.4,62856,84426,7582
M5,2024,Asia,Red,Diesel,Automatic,4.0,51422,57612,6685
M5,2020,Middle East,Grey,Electric,Automatic,4.7,13982,95743,811
X5,2021,Europe,Red,Hybrid,Automatic,2.4,195222,35088,4887
X5,2021,Africa,White,Petrol,Automatic,4.1,51422,78728,7440
M3,2024,South America,White,Hybrid,Manual,3.6,66695,65081,4708
M3,2020,South America,Silver,Petrol,Manual,3.9,189312,82137,8476
X1,2024,North America,Blue,Hybrid,Automatic,3.6,153613,111419,8480
M5,2024,Europe,Black,Electric,Manual,3.0,135637,43126,4333
i3,2023,Europe,Grey,Hybrid,Manual,4.5,5196,43843,6287
X1,2024,Europe,Silver,Petrol,Manual,1.8,46210,30706,9641
3 Series,2020,Africa,Red,Electric,Automatic,2.8,145498,112351,9146
3 Series,2024,Asia,Black,Petrol,Manual,3.9,188145,77682,4597
3 Series,2024,Middle East,Black,Hybrid,Automatic,2.2,184107,75224,5736
M3,2023,Asia,Black,Petrol,Automatic,4.8,120723,99644,3616
X1,2021,Africa,Silver,Diesel,Manual,3.7,31558,80887,2267
X5,2021,Middle East,Grey,Hybrid,Automatic,3.9,32132,117653,7421
M3,2023,Asia,Grey,Electric,Manual,2.4,120012,60179,8268
7 Series,2023,North America,Blue,Petrol,Automatic,3.5,165836,73519,5819
X3,2022,Asia,Blue,Petrol,Automatic,3.3,128608,35527,1972
3 Series,2021,Middle East,Blue,Diesel,Manual,1.8,96365,54452,522
3 Series,2021,Asia,Blue,Petrol,Manual,2.9,45007,100736,2180
7 Series,2020,South America,Grey,Diesel,Manual,4.1,143467,57639,2221
M5,2022,Europe,Grey,Diesel,Manual,3.8,132542,100431,6638
X1,2023,North America,Grey,Petrol,Manual,2.3,118264,31079,9987
M5,2024,North America,Black,Electric,Manual,2.1,195910,106079,3254
X1,2024,Middle East,White,Electric,Manual,4.1,81442,68786,9131
i8,2024,Europe,Silver,Hybrid,Manual,4.8,128441,99655,7927
M3,2021,Asia,Silver,Hybrid,Automatic,3.4,102945,49274,5751
7 Series,2024,Middle East,Grey,Diesel,Automatic,3.8,75462,46187,5395
i8,2022,South America,Black,Diesel,Automatic,4.7,89447,115701,4589
3 Series,2022,Europe,Silver,Hybrid,Manual,2.0,54624,117792,6197
M3,2023,North America,Silver,Electric,Manual,2.1,175559,32754,5247
X6,2024,South America,Grey,Petrol,Automatic,4.6,37916,104144,5770
i3,2022,South America,Red,Hybrid,Manual,2.3,183059,85070,2356
5 Series,2022,Africa,Black,Petrol,Manual,2.0,198078,116171,3144
X1,2020,Asia,Silver,Hybrid,Automatic,4.2,179411,42223,6218
X1,2024,Middle East,White,Electric,Automatic,2.0,57646,78487,5323
M5,2023,Middle East,Grey,Diesel,Automatic,3.9,195075,103773,9796
X5,2023,North America,Red,Petrol,Manual,3.0,149441,78828,6301
7 Series,2023,Asia,Grey,Electric,Manual,2.8,56682,102801,3140
X1,2022,Asia,Red,Diesel,Manual,4.7,16283,44540,5616
5 Series,2020,Asia,Grey,Petrol,Automatic,3.9,32780,102809,2176
7 Series,2020,Europe,Black,Diesel,Automatic,2.1,58747,108049,4383
X5,2021,North America,White,Electric,Automatic,4.3,154614,105131,9381
5 Series,2024,South America,Red,Petrol,Manual,4.0,181509,36538,3496
5 Series,2023,Africa,Red,Hybrid,Automatic,2.3,94157,72169,1536
7 Series,2020,South America,Black,Electric,Automatic,4.8,91310,76657,7557
M5,2022,Middle East,Black,Petrol,Automatic,2.9,177128,100379,9395
X1,2022,South America,Silver,Diesel,Automatic,4.3,158398,76675,508
X5,2020,Africa,Red,Petrol,Automatic,2.7,14537,116808,5898
X5,2022,Europe,Blue,Petrol,Manual,3.4,62959,79946,186
i3,2023,Middle East,White,Hybrid,Manual,3.8,183536,34254,9879
5 Series,2021,Africa,Silver,Diesel,Manual,4.2,13989,92023,9700
i3,2021,Africa,Grey,Diesel,Manual,4.8,195686,42360,1143
M3,2022,Europe,Blue,Hybrid,Manual,1.7,11499,79007,7690
M3,2024,Middle East,White,Petrol,Manual,3.0,26660,91993,8872
M5,2024,Middle East,Black,Diesel,Automatic,2.7,114045,50717,8642
X5,2020,Europe,Blue,Electric,Automatic,4.8,819,109874,2581
i8,2023,South America,Red,Diesel,Manual,4.8,173583,118502,5359
M3,2022,Middle East,Silver,Petrol,Automatic,4.5,134056,41563,8334
X5,2024,Europe,Silver,Diesel,Manual,1.7,157980,96379,8030
M3,2022,Africa,White,Diesel,Automatic,2.8,165191,54753,9770
X5,2022,Middle East,Red,Petrol,Automatic,3.2,18569,41114,8733
M5,2023,Africa,Blue,Electric,Automatic,2.2,66114,50955,5221
M5,2021,South America,Silver,Electric,Automatic,3.2,46633,60859,1192
7 Series,2023,Africa,Silver,Hybrid,Manual,3.8,165399,87645,2100
5 Series,2021,Africa,Silver,Diesel,Manual,1.7,172350,91268,5986
X6,2022,Africa,Blue,Hybrid,Manual,2.6,7175,85240,300
i8,2024,South America,Black,Diesel,Manual,3.0,112007,43971,4198
5 Series,2021,South America,Grey,Hybrid,Automatic,4.9,160777,119075,2894
X3,2021,Europe,Red,Electric,Manual,4.7,91609,48127,3819
X3,2024,South America,Blue,Petrol,Manual,5.0,57394,93588,6202
i3,2022,South America,Grey,Diesel,Manual,3.0,40397,50066,4021
7 Series,2020,Europe,Silver,Hybrid,Automatic,1.6,124672,70160,3007
M5,2021,Africa,Blue,Petrol,Automatic,4.2,122032,105874,1789
i8,2022,South America,Black,Petrol,Manual,2.2,84755,92127,8924
i8,2024,Asia,Grey,Petrol,Manual,3.4,142196,94927,2158
M5,2021,Asia,White,Hybrid,Manual,4.4,8238,79903,1887
7 Series,2022,Europe,Red,Electric,Automatic,4.6,191948,46856,3207
5 Series,2022,Asia,Black,Hybrid,Automatic,3.8,23793,117838,8663
X6,2021,Middle East,Grey,Diesel,Manual,3.6,187703,76605,627
M3,2022,South America,Blue,Diesel,Manual,3.5,84591,87148,5518
i3,2021,Africa,Blue,Diesel,Manual,4.2,173995,51803,5421
3 Series,2024,Europe,White,Petrol,Manual,3.3,89983,72928,5225
M3,2021,Asia,Black,Hybrid,Automatic,3.6,153465,94763,3914
X5,2024,Europe,Grey,Diesel,Manual,3.4,54239,46155,3643
7 Series,2023,Africa,Silver,Electric,Automatic,4.1,185772,46632,4543
3 Series,2020,Middle East,Blue,Petrol,Automatic,3.7,149553,92569,9824
5 Series,2024,South America,Red,Hybrid,Automatic,4.7,9964,51988,9264
7 Series,2020,Asia,Blue,Electric,Automatic,3.1,73322,30082,1312
3 Series,2023,Middle East,Black,Hybrid,Manual,2.8,49242,98606,5789
X1,2022,Africa,Red,Hybrid,Manual,4.1,194936,65868,9996
3 Series,2022,Africa,White,Hybrid,Manual,4.0,2925,60785,6316
X3,2022,North America,Silver,Hybrid,Automatic,2.5,33944,83467,785
X6,2020,Middle East,Red,Hybrid,Manual,4.7,175091,47519,5686
5 Series,2021,South America,Grey,Electric,Automatic,2.5,158651,72465,6562
5 Series,2023,South America,White,Petrol,Manual,2.6,110738,86571,1581
X6,2022,South America,Red,Petrol,Manual,2.6,50237,63397,1536
X1,2023,Africa,Red,Diesel,Automatic,3.5,111216,72948,737
5 Series,2020,Middle East,Blue,Diesel,Automatic,2.6,161776,106631,9924
5 Series,2021,North America,Silver,Electric,Manual,3.4,165812,103064,5440
X5,2024,North America,Red,Diesel,Automatic,2.3,55892,47558,8784
X1,2024,Middle East,White,Diesel,Manual,3.9,164522,113636,4476
7 Series,2023,Middle East,Black,Diesel,Manual,2.9,76576,38344,6698
i8,2020,South America,Blue,Hybrid,Manual,4.7,69999,56987,9971
5 Series,2020,Asia,Grey,Hybrid,Automatic,3.8,182285,102281,560
X5,2022,Middle East,White,Diesel,Manual,3.7,40852,97382,9397
X6,2023,Africa,White,Petrol,Automatic,1.5,194996,37011,2398
3 Series,2021,North America,Blue,Electric,Manual,3.0,191567,46818,3042
X6,2022,Middle East,Grey,Hybrid,Automatic,1.5,7735,67669,7643
7 Series,2022,Europe,Red,Electric,Automatic,2.5,165063,91146,611
5 Series,2024,Middle East,Silver,Petrol,Automatic,2.7,106881,90402,1986
5 Series,2023,North America,White,Electric,Automatic,2.5,149982,59290,992
5 Series,2020,North America,Black,Electric,Manual,3.0,128857,45182,7623
3 Series,2024,Europe,Blue,Electric,Automatic,2.2,35467,36060,2263
X6,2021,Africa,Silver,Petrol,Manual,2.8,151940,30160,9731
X5,2022,South America,Grey,Electric,Manual,3.7,157168,95988,4558
X1,2022,Middle East,Blue,Hybrid,Manual,3.3,159238,31150,504
M3,2021,North America,Silver,Hybrid,Automatic,1.8,79284,91939,7548
M3,2024,Europe,Grey,Hybrid,Manual,2.4,107000,116883,8605
i3,2021,South America,Black,Electric,Manual,2.9,115802,38209,6931
i8,2022,Asia,Blue,Petrol,Manual,3.3,93748,44610,4137
5 Series,2023,Asia,Red,Electric,Automatic,1.6,85114,103187,9401
3 Series,2024,Asia,Red,Diesel,Manual,2.3,167251,110665,5148
X3,2024,Africa,Black,Diesel,Manual,2.6,34519,78220,5320
X6,2024,Asia,Silver,Hybrid,Automatic,3.3,89283,92845,2390
5 Series,2022,North America,White,Hybrid,Manual,2.6,175578,64493,6664
7 Series,2024,Middle East,Silver,Diesel,Automatic,2.8,190823,30326,3802
7 Series,2020,Middle East,Blue,Petrol,Automatic,2.7,96692,43210,6021
3 Series,2022,Europe,Silver,Hybrid,Manual,4.3,94347,53263,4308
X5,2021,North America,Grey,Electric,Manual,2.1,89415,33284,9823
5 Series,2024,Africa,Silver,Diesel,Automatic,1.5,153053,55002,9349
M5,2024,South America,White,Electric,Manual,3.2,132381,57159,6716
i8,2023,Africa,Grey,Petrol,Automatic,2.5,14969,50313,9186
X6,2024,Africa,Blue,Petrol,Automatic,2.9,36995,50563,7711
X3,2021,Europe,Silver,Diesel,Manual,1.6,103738,43191,2824
i8,2023,South America,Blue,Diesel,Manual,2.3,124704,31816,6437
M5,2022,Africa,Black,Electric,Automatic,2.3,99111,110200,6461
M3,2023,Europe,Red,Diesel,Automatic,2.1,110253,40702,7958
5 Series,2023,Africa,Black,Electric,Manual,2.3,162470,89429,107
M5,2021,North America,Black,Diesel,Manual,4.9,121181,49602,6340
X3,2023,South America,Red,Hybrid,Automatic,2.5,13101,112580,2790
3 Series,2024,Europe,White,Petrol,Manual,1.7,26665,48662,7329
7 Series,2024,South America,Red,Petrol,Automatic,3.3,486,95488,3594
X3,2024,Middle East,Red,Diesel,Automatic,5.0,172030,103119,5212
i3,2023,Asia,Grey,Diesel,Automatic,2.6,168084,105457,3736
3 Series,2024,Asia,Red,Diesel,Manual,3.4,108931,115055,6750
X5,2022,Middle East,White,Diesel,Manual,1.5,181486,65048,744
M3,2020,North America,Blue,Electric,Automatic,2.1,105740,113974,8782
7 Series,2022,South America,Red,Petrol,Manual,4.1,23939,101146,2564
i8,2022,Middle East,Black,Electric,Automatic,4.7,79119,48964,7685
X5,2024,Middle East,Grey,Electric,Automatic,3.7,110640,57822,8493
3 Series,2020,Africa,Red,Diesel,Manual,3.3,19395,110452,3544
X5,2023,Europe,Black,Hybrid,Manual,2.3,165414,54246,7425
X3,2024,Africa,Silver,Electric,Automatic,2.9,142569,49525,6999
M5,2024,North America,Blue,Electric,Manual,2.7,127873,72331,7423
7 Series,2020,Middle East,Black,Diesel,Manual,1.6,179446,63907,2954
X1,2020,Asia,Silver,Petrol,Automatic,4.8,109332,110921,1093
X5,2020,South America,Silver,Diesel,Automatic,2.6,184538,50631,4339
M5,2022,South America,Black,Hybrid,Manual,2.4,182819,39322,7939
X3,2020,Africa,Blue,Electric,Automatic,4.7,137967,63815,2681
7 Series,2024,Asia,Silver,Diesel,Automatic,4.4,174900,57314,8650
3 Series,2023,Asia,Silver,Hybrid,Manual,4.6,108773,67705,7009
M3,2021,North America,White,Hybrid,Manual,4.0,37257,35288,8762
i3,2023,South America,Grey,Electric,Manual,3.9,64887,54349,5022
M3,2023,North America,Silver,Electric,Manual,4.5,110254,57965,1927
3 Series,2024,Europe,White,Diesel,Manual,2.3,133822,95329,8704
i8,2024,Middle East,Blue,Electric,Manual,2.5,152202,88447,3775
i8,2024,South America,Blue,Diesel,Manual,4.8,174907,76848,1141
X6,2024,Middle East,Silver,Petrol,Manual,1.8,44731,69037,5875
M5,2023,Asia,Black,Hybrid,Automatic,2.7,31217,32658,7870
M5,2022,North America,Grey,Petrol,Automatic,2.7,56732,74801,130
X1,2021,South America,Grey,Diesel,Manual,2.1,82440,37307,9937
M5,2020,South America,Red,Electric,Manual,4.0,114446,54779,7898
M5,2023,Europe,Blue,Hybrid,Manual,2.4,22975,39099,7244
X6,2022,North America,Blue,Electric,Manual,3.0,61106,117498,4548
M3,2022,Europe,Red,Diesel,Manual,3.1,76895,117063,9241
M5,2021,South America,Black,Hybrid,Automatic,2.9,17172,91424,4293
i3,2021,Asia,Red,Diesel,Automatic,1.5,191227,108561,5002
X6,2022,South America,Blue,Petrol,Automatic,2.5,172069,69621,2848
X6,2024,North America,Grey,Hybrid,Manual,4.4,163612,64132,8177
M5,2020,North America,Grey,Electric,Manual,1.7,81122,82184,8515
M3,2023,Middle East,Red,Electric,Automatic,1.8,166851,106924,5806
7 Series,2024,Middle East,Silver,Petrol,Automatic,4.3,94869,81729,6485
M5,2021,Africa,Blue,Electric,Manual,4.7,161450,72817,4468
i8,2020,Middle East,Blue,Electric,Manual,2.2,106307,83088,7341
X6,2023,South America,Silver,Hybrid,Manual,3.0,152262,117171,3914
5 Series,2022,South America,Silver,Hybrid,Manual,4.2,85799,41968,6231
X1,2024,North America,Red,Diesel,Manual,3.5,1273,39471,4282
i8,2022,Asia,Red,Electric,Manual,4.5,53541,36720,1233
M5,2022,Middle East,Black,Petrol,Automatic,4.0,140476,83976,735
3 Series,2024,Europe,Red,Diesel,Manual,2.0,41113,104897,843
X6,2020,Africa,White,Hybrid,Automatic,4.3,10947,67820,8598
i8,2024,North America,White,Diesel,Manual,2.0,43617,77028,6514
X3,2021,Asia,Grey,Hybrid,Manual,2.8,117933,95828,4058
i3,2021,North America,Black,Hybrid,Manual,2.0,186577,40218,1492
X1,2024,Middle East,Blue,Hybrid,Automatic,2.4,189591,89836,613
M3,2021,Africa,Silver,Petrol,Automatic,1.9,12225,104228,1026
X1,2020,Europe,Black,Diesel,Automatic,2.9,150442,60880,1523
i3,2023,Middle East,Grey,Petrol,Manual,1.9,195136,74859,5730
7 Series,2022,Africa,Red,Diesel,Manual,2.0,8378,67102,4098
X6,2021,Europe,Blue,Electric,Manual,3.8,74585,41714,6402
M3,2022,Europe,Silver,Petrol,Automatic,1.7,154005,100923,8741
i8,2023,North America,Blue,Diesel,Manual,4.4,40918,78027,4161
i3,2022,Middle East,Red,Hybrid,Manual,4.1,191417,65521,9138
5 Series,2020,North America,Blue,Petrol,Automatic,1.5,98276,110496,1515
5 Series,2023,Middle East,Red,Electric,Automatic,1.9,38158,119343,8115
X5,2020,South America,Silver,Petrol,Manual,4.2,85427,79709,9893
M3,2022,Asia,Grey,Petrol,Manual,4.2,43031,70528,7859
X6,2024,Asia,Blue,Diesel,Automatic,2.7,81665,73158,9161
i8,2023,North America,Black,Electric,Manual,2.5,191378,56944,3436
M5,2022,Africa,Black,Petrol,Automatic,1.9,11870,94860,7401
X1,2020,South America,Blue,Diesel,Manual,1.8,146489,77519,7226
M5,2021,North America,Black,Hybrid,Automatic,2.7,104648,57310,9526
M3,2023,North America,Silver,Diesel,Manual,4.6,170897,36057,8452
i8,2021,North America,Black,Hybrid,Manual,3.1,75244,58453,4810
M5,2021,North America,Silver,Hybrid,Manual,2.4,8081,79072,6283
X5,2022,Africa,Black,Petrol,Manual,1.8,167890,84936,1822
i3,2024,Asia,Red,Diesel,Automatic,4.5,99556,94510,482
7 Series,2020,Middle East,Blue,Hybrid,Manual,2.9,22591,57986,3186
M5,2020,Europe,Red,Diesel,Manual,4.7,90493,75578,1235
5 Series,2023,North America,Red,Petrol,Manual,1.7,89043,105037,454
i3,2021,Europe,Red,Diesel,Automatic,3.4,106089,33906,3963
X3,2024,North America,Blue,Hybrid,Manual,4.3,138359,99649,6736
X5,2024,North America,Red,Diesel,Automatic,4.9,161283,98897,7847
3 Series,2023,Asia,Blue,Electric,Automatic,4.8,5359,96189,9931
M3,2022,Asia,Red,Petrol,Manual,3.1,88150,67086,9327
X3,2021,Middle East,Black,Electric,Automatic,4.7,104192,109233,1687
7 Series,2021,Europe,Red,Electric,Automatic,3.2,86066,67928,5470
7 Series,2023,South America,Black,Electric,Manual,4.7,129550,102709,3015
5 Series,2020,Asia,Red,Hybrid,Automatic,4.6,75769,86151,5309
X5,2022,South America,Black,Electric,Automatic,4.9,172629,116015,4474
X3,2022,Middle East,Grey,Hybrid,Automatic,2.8,58771,83089,4431
X5,2021,Asia,Grey,Petrol,Automatic,3.3,18798,44235,8686
3 Series,2022,Asia,Grey,Hybrid,Automatic,2.1,46973,43422,524
M5,2021,North America,Silver,Electric,Manual,3.1,3029,112591,8768
M3,2024,Africa,Blue,Petrol,Automatic,5.0,46936,117442,7161
M5,2020,Middle East,Silver,Petrol,Manual,3.8,19263,108609,8397
X6,2024,Middle East,Black,Electric,Manual,2.2,59807,109295,220
i8,2020,Asia,Blue,Petrol,Automatic,2.3,169261,77531,1935
i8,2020,North America,Black,Electric,Automatic,4.7,127375,110747,5197
3 Series,2024,Europe,Black,Hybrid,Manual,4.0,4212,31618,363
X3,2022,South America,Grey,Diesel,Manual,2.7,14585,61206,8898
7 Series,2022,South America,Silver,Electric,Automatic,5.0,87087,55878,8279
M5,2022,North America,Blue,Electric,Automatic,3.2,86320,62880,7278
M5,2023,Europe,Black,Petrol,Manual,1.8,115769,50965,2433
X1,2024,Africa,White,Diesel,Automatic,4.0,59291,83251,4933
5 Series,2020,South America,Blue,Electric,Automatic,2.4,116367,95579,7285
X6,2021,Asia,Red,Electric,Automatic,2.9,5084,46552,4354
X3,2024,North America,Blue,Hybrid,Automatic,3.4,117594,64578,3962
X5,2021,Middle East,White,Petrol,Automatic,4.4,156757,77864,8983
7 Series,2022,Asia,White,Electric,Manual,2.1,80262,43411,196
X3,2024,Africa,Red,Hybrid,Manual,1.6,87689,110241,2536
X1,2024,North America,Grey,Diesel,Manual,1.7,72150,57311,7862
X3,2022,Asia,Grey,Hybrid,Automatic,4.5,170003,36726,8821
M5,2020,Europe,White,Hybrid,Automatic,4.4,165131,30399,5374
X5,2022,North America,Grey,Diesel,Manual,4.5,84073,106864,8474
i3,2020,North America,Blue,Electric,Automatic,3.6,56317,99091,6032
5 Series,2021,South America,Blue,Petrol,Manual,4.2,46795,104785,2659
7 Series,2020,North America,Silver,Hybrid,Automatic,4.2,115331,34379,9378
3 Series,2024,North America,Red,Petrol,Manual,3.5,199360,55566,1005
X6,2021,South America,Blue,Petrol,Automatic,2.3,76979,53353,9719
M5,2020,Asia,Black,Diesel,Automatic,2.1,150791,105027,6716
X6,2024,Asia,Red,Electric,Manual,1.8,92286,101357,3319
i3,2023,Africa,Red,Hybrid,Automatic,1.6,118758,57760,6481
M5,2024,Africa,White,Petrol,Manual,4.1,18727,87865,8228
3 Series,2023,South America,Silver,Electric,Automatic,3.7,164507,102302,2111
M5,2021,Africa,Black,Diesel,Manual,2.7,124751,41289,4397
M3,2023,Asia,Silver,Petrol,Automatic,3.1,197872,80479,415
X1,2022,Europe,White,Electric,Manual,3.3,64238,66544,7792
M5,2021,Asia,Silver,Hybrid,Automatic,2.9,179640,59951,1239
7 Series,2021,Middle East,Red,Hybrid,Automatic,3.8,96022,107573,2372
7 Series,2021,Africa,Red,Diesel,Manual,2.7,112519,62528,9000
X6,2021,Middle East,Black,Electric,Automatic,3.4,125853,42387,9057
3 Series,2023,North America,Silver,Diesel,Manual,4.5,18067,94073,5280
X5,2021,Middle East,White,Hybrid,Manual,4.9,107593,53795,2151
7 Series,2022,South America,White,Petrol,Manual,1.9,188059,58923,6173
X3,2023,Middle East,Red,Petrol,Manual,1.6,175194,70174,7959
X5,2020,Africa,Red,Electric,Automatic,1.5,44467,111529,2459
i8,2021,North America,Black,Petrol,Manual,1.8,169739,88010,4006
i3,2024,Europe,Grey,Hybrid,Manual,3.7,137726,44501,9242
i8,2020,Middle East,Blue,Hybrid,Automatic,3.9,130814,72035,3723
M3,2022,South America,White,Hybrid,Manual,4.3,185620,95326,8100
i3,2021,Africa,Silver,Electric,Automatic,2.7,184911,90336,2101
i3,2023,Asia,Blue,Electric,Manual,4.0,111618,64841,1037
X6,2023,Asia,White,Electric,Automatic,2.8,138897,40861,8029
i8,2022,North America,Blue,Hybrid,Automatic,2.1,49695,86563,8708
X5,2024,North America,White,Hybrid,Automatic,1.6,119078,102990,6961
X1,2022,Europe,White,Hybrid,Manual,4.8,169804,116633,5135
M3,2020,Europe,Red,Electric,Automatic,3.0,156677,49574,9252
X1,2022,North America,Silver,Petrol,Automatic,3.8,42553,78644,6073
M5,2020,North America,Blue,Hybrid,Automatic,2.4,97415,71334,3809
M5,2023,Europe,Grey,Petrol,Automatic,4.1,172308,57780,2710
7 Series,2024,Middle East,Blue,Hybrid,Manual,3.1,146951,38009,9269
i8,2021,North America,Red,Petrol,Automatic,4.2,39202,109177,6525
X6,2022,Asia,White,Petrol,Manual,2.6,170757,44595,3959
M5,2024,Europe,Red,Hybrid,Automatic,3.1,163639,71238,7770
X5,2022,Europe,Silver,Electric,Automatic,3.8,137659,65465,6550
3 Series,2020,Asia,Red,Hybrid,Automatic,3.2,92340,52091,2729
